Package Name,Title,CRAN,Abstract,Version,Depends,Imports,Suggests
polspline,polspline: Polynomial Spline Routines,OK,"Routines for the polynomial spline fitting routines
  hazard regression, hazard estimation with flexible tails, logspline,
  lspec, polyclass, and polymars, by C. Kooperberg and co-authors.",1.1.13,NA,"stats, graphics",NA
polycor,polycor: Polychoric and Polyserial Correlations,OK,"Computes polychoric and polyserial correlations by quick ""two-step"" methods or ML, 
  optionally with standard errors; tetrachoric and biserial correlations are special cases.",0.7-9,R (≥ 3.3.0),"stats, mvtnorm, Matrix",NA
proto,proto: Prototype Object-Based Programming,OK,"An object oriented system using object-based, also
	called prototype-based, rather than class-based object oriented ideas.",1.0.0,NA,NA,"testthat, covr"
psy,psy: Various procedures used in psychometry,OK,"Kappa, ICC, Cronbach alpha, screeplot, mtmm",1.1,NA,NA,NA
psych,"psych: Procedures for Psychological, Psychometric, and Personality
Research",OK,"A general purpose toolbox for personality, psychometric theory and experimental psychology.   Functions are primarily for multivariate analysis and scale construction using factor analysis, principal component analysis, cluster analysis and reliability analysis, although others provide basic descriptive statistics. Item Response Theory is done using  factor analysis of tetrachoric and polychoric correlations. Functions for analyzing data at multiple levels include within and between group statistics, including correlations and factor analysis.   Functions for simulating and testing particular item and test structures are included. Several functions  serve as a useful front end for structural equation modeling.  Graphical displays of path diagrams, factor analysis and structural equation models are created using basic graphics. Some of the functions are written to support a book on psychometric theory as well as publications in personality research. For more information, see the <https://personality-project.org/r> web page.",1.8.4,R (≥ 2.10),"mnormt, parallel, stats, graphics, grDevices, methods, foreign, lattice, nlme","GPArotation, lavaan, sem, lme4, Rcsdp, graph, Rgraphviz"
qgraph,"qgraph: Graph Plotting Methods, Psychometric Data Visualization and
Graphical Model Estimation",OK,"Weighted network visualization and analysis, as well as Gaussian graphical model computation. See Epskamp et al. (2012) <doi:10.18637/jss.v048.i04>.",1.5,R (≥ 3.0.0),"methods, grDevices, psych, ellipse, lavaan, sem, plyr, Hmisc, igraph, jpeg, png, colorspace, Matrix, sna, corpcor, reshape2, ggplot2, glasso, huge, fdrtool, d3Network, ggm, gtools, BDgraph, parallel, pbapply, abind","RSVGTipsDevice, sendplot"
quadprog,quadprog: Functions to solve Quadratic Programming Problems,OK,"This package contains routines and documentation for
        solving quadratic programming problems.",1.5-5,R (≥ 2.15.0),NA,NA
quantreg,quantreg: Quantile Regression,OK,"Estimation and inference methods for models of conditional quantiles: 
  Linear and nonlinear parametric and non-parametric (total variation penalized) models 
  for conditional quantiles of a univariate response and several methods for handling
  censored survival data.  Portfolio selection methods based on expected shortfall
  risk are also included.",5.36,"R (≥ 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels","tripack, akima, MASS, survival, rgl, logspline, nor1mix, Formula, zoo"
R2HTML,R2HTML: HTML Exportation for R Objects,OK,"Includes HTML function and methods to write in an HTML
        file. Thus, making HTML reports is easy. Includes a function
        that allows redirection on the fly, which appears to be very
        useful for teaching purpose, as the student can keep a copy of
        the produced output to keep all that he did during the course.
        Package comes with a vignette describing how to write HTML
        reports for statistical analysis. Finally, a driver for 'Sweave'
        allows to parse HTML flat files containing R code and to
        automatically write the corresponding outputs (tables and
        graphs).",2.3.2,R (≥ 2.0),"stats, graphics, utils, grDevices, methods","boot, splines, survival, cluster, nlme, rpart, nnet"
R6,R6: Classes with Reference Semantics,OK,"The R6 package allows the creation of classes with reference
    semantics, similar to R's built-in reference classes. Compared to reference
    classes, R6 classes are simpler and lighter-weight, and they are not built
    on S4 classes so they do not require the methods package. These classes
    allow public and private members, and they support inheritance, even when
    the classes are defined in different packages.",2.2.2,R (≥ 3.0),NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales"
raster,raster: Geographic Data Analysis and Modeling,OK,"Reading, writing, manipulating, analyzing and modeling of gridded spatial data. The package implements basic and high-level functions. Processing of very large files is supported.",2.6-7,"methods, sp (≥ 1.2-0), R (≥ 3.0.0)",Rcpp,"rgdal (≥ 0.9-1), rgeos (≥ 0.3-8), ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf"
Rcmdr,Rcmdr: R Commander,OK,"
  A platform-independent basic-statistics GUI (graphical user interface) for R, based on the tcltk package.",2.5-0,"R (≥ 3.4.0), grDevices, graphics, methods, stats, utils, splines, RcmdrMisc (≥ 2.5-0), car (≥ 3.0-1), effects (≥
4.0-3)","tcltk, tcltk2 (≥ 1.2-6), abind, relimp (≥ 1.0-5)","aplpack, boot, colorspace, e1071, foreign, grid, Hmisc, knitr, lattice, leaps, lmtest, markdown, MASS, mgcv, multcomp (≥ 0.991-2), nlme, nnet, nortest, readxl, rgl (≥ 0.96.0), rmarkdown (≥ 0.9.5), sem (≥ 2.1-1)"
RcmdrMisc,RcmdrMisc: R Commander Miscellaneous Functions,OK,"
  Various statistical, graphics, and data-management functions used by the Rcmdr package in the R Commander GUI for R. ",2.5-0,"R (≥ 3.4.0), utils, car (≥ 3.0-0), sandwich","abind, colorspace, Hmisc (≥ 4.1-0), MASS, e1071, foreign, haven, readstata13, readxl, graphics, grDevices, stats, nortest","boot, datasets"
RColorBrewer,RColorBrewer: ColorBrewer Palettes,OK,"Provides color schemes for maps (and other graphics)
        designed by Cynthia Brewer as described at http://colorbrewer2.org",1.1-2,R (≥ 2.0.0),NA,NA
Rcpp,Rcpp: Seamless R and C++ Integration,OK,"The 'Rcpp' package provides R functions as well as C++ classes which
 offer a seamless integration of R and C++. Many R data types and objects can be
 mapped back and forth to C++ equivalents which facilitates both writing of new
 code as well as easier integration of third-party libraries. Documentation
 about 'Rcpp' is provided by several vignettes included in this package, via the
 'Rcpp Gallery' site at <http://gallery.rcpp.org>, the paper by Eddelbuettel and
 Francois (2011, <doi:10.18637/jss.v040.i08>), the book by Eddelbuettel (2013,
 <doi:10.1007/978-1-4614-6868-4>) and the paper by Eddelbuettel and Balamuta (2018,
 <doi:10.1080/00031305.2017.1375990>); see 'citation(""Rcpp"")' for details.",0.12.18,R (≥ 3.0.0),"methods, utils","RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten (≥ 0.1.2)"
RcppArmadillo,"RcppArmadillo: 'Rcpp' Integration for the 'Armadillo' Templated Linear Algebra
Library",OK,"'Armadillo' is a templated C++ linear algebra library (by Conrad
 Sanderson) that aims towards a good balance between speed and ease of use. Integer,
 floating point and complex numbers are supported, as well as a subset of
 trigonometric and statistics functions. Various matrix decompositions are
 provided through optional integration with LAPACK and ATLAS libraries.
 The 'RcppArmadillo' package includes the header files from the templated
 'Armadillo' library. Thus users do not need to install 'Armadillo' itself in
 order to use 'RcppArmadillo'. From release 7.800.0 on, 'Armadillo' is
 licensed under Apache License 2; previous releases were under licensed as
 MPL 2.0 from version 3.800.0 onwards and LGPL-3 prior to that;
 'RcppArmadillo' (the 'Rcpp' bindings/bridge to Armadillo) is licensed under
 the GNU GPL version 2 or later, as is the rest of 'Rcpp'. Note that
 Armadillo requires a fairly recent compiler; for the g++ family at least
 version 4.6.* is required. ",0.9.100.5.0,R (≥ 3.3.0),"Rcpp (≥ 0.11.0), stats, utils, methods","RUnit, Matrix, pkgKitten, reticulate, rmarkdown, knitr, pinp, slam"
RcppEigen,"RcppEigen: 'Rcpp' Integration for the 'Eigen' Templated Linear Algebra
Library",OK,"R and 'Eigen' integration using 'Rcpp'.
 'Eigen' is a C++ template library for linear algebra: matrices, vectors,
 numerical solvers and related algorithms.  It supports dense and sparse
 matrices on integer, floating point and complex numbers, decompositions of
 such matrices, and solutions of linear systems. Its performance on many
 algorithms is comparable with some of the best implementations based on
 'Lapack' and level-3 'BLAS'. The 'RcppEigen' package includes the header
 files from the 'Eigen' C++ template library (currently version 3.3.4). Thus
 users do not need to install 'Eigen' itself in order to use 'RcppEigen'.
 Since version 3.1.1, 'Eigen' is licensed under the Mozilla Public License
 (version 2); earlier version were licensed under the GNU LGPL version 3 or
 later. 'RcppEigen' (the 'Rcpp' bindings/bridge to 'Eigen') is licensed under
 the GNU GPL version 2 or later, as is the rest of 'Rcpp'.",0.3.3.4.0,R (≥ 2.15.1),"Matrix (≥ 1.1-0), Rcpp (≥ 0.11.0), stats, utils","inline, RUnit, pkgKitten"
RCurl,RCurl: General Network (HTTP/FTP/...) Client Interface for R,OK,"A wrapper for 'libcurl' <http://curl.haxx.se/libcurl/>
	Provides functions to allow one to compose general HTTP requests
        and provides convenient functions to fetch URIs, get & post
        forms, etc. and process the results returned by the Web server.
        This provides a great deal of control over the HTTP/FTP/...
        connection and the form of the request while providing a
        higher-level interface than is available just using R socket
        connections.  Additionally, the underlying implementation is
        robust and extensive, supporting FTP/FTPS/TFTP (uploads and
        downloads), SSL/HTTPS, telnet, dict, ldap, and also supports
        cookies, redirects, authentication, etc.",1.95-4.11,"R (≥ 3.0.0), methods, bitops",NA,"Rcompression, XML"
readxl,readxl: Read Excel Files,OK,"Import excel files into R. Supports '.xls' via the embedded
    'libxls' C library <https://github.com/evanmiller/libxls> and '.xlsx' via
    the embedded 'RapidXML' C++ library <https://rapidxml.sourceforge.net>.
    Works on Windows, Mac and Linux without external dependencies.",1.1.0,NA,"cellranger, Rcpp (≥ 0.12.12), tibble (≥ 1.1)","covr, knitr, rmarkdown, rprojroot (≥ 1.1), testthat"
registry,registry: Infrastructure for R Package Registries,OK,Provides a generic infrastructure for creating and using registries.,0.5,R (≥ 2.6.0),utils,NA
relimp,relimp: Relative Contribution of Effects in a Regression Model,OK,"Functions to facilitate inference on the relative importance of predictors in a linear or generalized linear model, and a couple of useful Tcl/Tk widgets.",1.0-5,R (≥ 2.0.0),"stats, utils","tcltk, nnet, MASS, Rcmdr"
reshape2,reshape2: Flexibly Reshape Data: A Reboot of the Reshape Package,OK,"Flexibly restructure and aggregate data using just two
    functions: melt and 'dcast' (or 'acast').",1.4.3,R (≥ 3.1),"plyr (≥ 1.8.1), Rcpp, stringr","covr, lattice, testthat (≥ 0.8.0)"
rgl,rgl: 3D Visualization Using OpenGL,OK,"Provides medium to high level functions for 3D interactive graphics, including
    functions modelled on base graphics (plot3d(), etc.) as well as functions for
    constructing representations of geometric objects (cube3d(), etc.).  Output
    may be on screen using OpenGL, or to various standard 3D file formats including
    WebGL, PLY, OBJ, STL as well as 2D image formats, including PNG, Postscript, SVG, PGF.",0.99.16,R (≥ 3.2.0),"graphics, grDevices, stats, utils, htmlwidgets, htmltools, knitr, jsonlite (≥ 0.9.20), shiny, magrittr, crosstalk, manipulateWidget (≥ 0.9.0)","MASS, rmarkdown, deldir, orientlib, lattice, misc3d, rstudioapi, magick"
rJava,rJava: Low-Level R to Java Interface,OK,"Low-level interface to Java VM very much like .C/.Call and friends. Allows creation of objects, calling methods and accessing fields.",0.9-10,"R (≥ 2.5.0), methods",NA,NA
rjson,rjson: JSON for R,OK,Converts R object into JSON objects and vice-versa.,0.2.20,R (≥ 3.1.0),NA,NA
rmarkdown,rmarkdown: Dynamic Documents for R,OK,Convert R Markdown documents into a variety of formats.,1.10,R (≥ 3.0),"tools, utils, knitr (≥ 1.18), yaml (≥ 2.1.5), htmltools (≥
0.3.5), evaluate (≥ 0.8), base64enc, jsonlite, rprojroot, mime, tinytex (≥ 0.3), methods, stringr (≥ 1.2.0)","shiny (≥ 0.11), tufte, testthat, digest, dygraphs, tibble"
rms,rms: Regression Modeling Strategies,OK,"Regression modeling, testing, estimation, validation,
	graphics, prediction, and typesetting by storing enhanced model design
	attributes in the fit.  'rms' is a collection of functions that
	assist with and streamline modeling.  It also contains functions for
	binary and ordinal logistic regression models, ordinal models for
  continuous Y with a variety of distribution families, and the Buckley-James
	multiple regression model for right-censored responses, and implements
	penalized maximum likelihood estimation for logistic and ordinary
	linear models.  'rms' works with almost any regression model, but it
	was especially written to work with binary or ordinal regression
	models, Cox regression, accelerated failure time models,
	ordinary linear models,	the Buckley-James model, generalized least
	squares for serially or spatially correlated observations, generalized
	linear models, and quantile regression.",5.1-2,"Hmisc (≥ 4.1-0), survival (≥ 2.40-1), lattice, ggplot2 (≥
2.2), SparseM","methods, quantreg, rpart, nlme (≥ 3.1-123), polspline, multcomp, htmlTable (≥ 1.11.0), htmltools","boot, tcltk, plotly (≥ 4.5.6)"
rngtools,rngtools: Utility Functions for Working with Random Number Generators,OK,"Provides a set of functions for working with
    Random Number Generators (RNGs). In particular, a generic
    S4 framework is defined for getting/setting the current RNG, or RNG data
    that are embedded into objects for reproducibility.
    Notably, convenient default methods greatly facilitate the way current
    RNG settings can be changed.",1.3.1,"R (≥ 3.0.0), methods, pkgmaker (≥ 0.20)","stringr, digest, utils, stats, parallel","RUnit, testthat"
ROAuth,ROAuth: R Interface For OAuth,OK,"Provides an interface to the OAuth 1.0 specification
        allowing users to authenticate via OAuth to the
        server of their choice.",0.9.6,R (≥ 2.12.0),"RCurl, digest, methods",NA
rockchalk,rockchalk: Regression Estimation and Presentation,OK,"A collection of functions for interpretation and presentation
    of regression analysis.  These functions are used
    to produce the statistics lectures in
    <http://pj.freefaculty.org/guides>. Includes regression
    diagnostics, regression tables, and plots of interactions and
    ""moderator"" variables. The emphasis is on ""mean-centered"" and
    ""residual-centered"" predictors. The vignette 'rockchalk' offers a
    fairly comprehensive overview.  The vignette 'Rstyle' has advice
    about coding in R.  The package title 'rockchalk' refers to our
    school motto, 'Rock Chalk Jayhawk, Go K.U.'.",1.8.111,R (≥ 2.10),"grDevices, methods, lme4, car, MASS","tables, Hmisc"
RODBC,RODBC: ODBC Database Access,OK,An ODBC database interface.,1.3-15,R (≥ 3.0.0),stats,NA
rpart,rpart: Recursive Partitioning and Regression Trees,OK,"Recursive partitioning for classification, 
  regression and survival trees.  An implementation of most of the 
  functionality of the 1984 book by Breiman, Friedman, Olshen and Stone.",4.1-13,"R (≥ 2.15.0), graphics, stats, grDevices",NA,survival
rprojroot,rprojroot: Finding Files in Project Subdirectories,OK,"Robust, reliable and flexible paths to files below a
    project root. The 'root' of a project is defined as a directory
    that matches a certain criterion, e.g., it contains a certain
    regular file.",1.3-2,R (≥ 3.0.0),backports,"testthat, mockr, knitr, withr, rmarkdown"
Rsolnp,Rsolnp: General Non-Linear Optimization,OK,General Non-linear Optimization Using Augmented Lagrange Multiplier Method.,1.16,R (≥ 2.10.0),"truncnorm, parallel, stats",NA
sandwich,sandwich: Robust Covariance Matrix Estimators,OK,"Model-robust standard error estimators for cross-sectional, time series, clustered, panel, and longitudinal data.",2.5-0,R (≥ 2.10.0),"stats, utils, zoo","AER, car, geepack, lattice, lmtest, MASS, multiwayvcov, parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange, survival"
scales,scales: Scale Functions for Visualization,OK,"Graphical scales map data to aesthetics, and provide
    methods for automatically determining breaks and labels
    for axes and legends.",1.0.0,R (≥ 3.1),"labeling, munsell (≥ 0.5), R6, RColorBrewer, Rcpp, viridisLite","dichromat, bit64, covr, hms, testthat (≥ 2.0)"
scatterplot3d,scatterplot3d: 3D Scatter Plot,OK,Plots a three dimensional (3D) point cloud.,0.3-41,R (≥ 2.7.0),"grDevices, graphics, stats",NA
sem,sem: Structural Equation Models,OK,"Functions for fitting general linear structural
    equation models (with observed and latent variables) using the RAM approach, 
    and for fitting structural equations in observed-variable models by two-stage least squares.",3.1-9,"R (≥ 2.14.0), stats","matrixcalc, MASS, boot, mi (≥ 0.9-99), utils","polycor, MBESS, DiagrammeR"
semPlot,"semPlot: Path Diagrams and Visual Analysis of Various SEM Packages'
Output",OK,Path diagrams and visual analysis of various SEM packages' output.,1.1,R (≥ 2.15.0),"qgraph (≥ 1.2.4), lavaan (≥ 0.5-11), sem (≥ 3.1-0), plyr, XML, igraph (≥ 0.6-3), lisrelToR, rockchalk, colorspace, corpcor, methods, semTools, OpenMx",MplusAutomation (≥ 0.5-3)
semTools,semTools: Useful Tools for Structural Equation Modeling,OK,Provides useful tools for structural equation modeling.,0.5-0,"R (≥ 3.3), utils, stats, graphics, lavaan (≥ 0.6.1)",methods,"MASS, foreign, parallel, boot, Amelia, mice, GPArotation, mnormt, OpenMx"
setRNG,setRNG: Set (Normal) Random Number Generator and Seed,OK,"SetRNG provides utilities to help set and record the setting of
	the seed and the uniform and normal generators used when a random
	experiment is run. The utilities can be used in other functions 
	that do random experiments to simplify recording and/or setting all the 
	necessary information for reproducibility. 
	See the vignette and reference manual for examples.",2013.9-1,R (≥ 2.5.0),NA,NA
sf,sf: Simple Features for R,OK,"Support for simple features, a standardized way to encode spatial vector data. Binds
	to 'GDAL' for reading and writing data, to 'GEOS' for geometrical operations, and to 'PROJ' for projection
	conversions and datum transformations.",0.6-3,"R (≥ 3.3.0), methods","utils, stats, tools, graphics, grDevices, grid, Rcpp, DBI (≥
0.8), units (≥ 0.5-1), classInt, magrittr","lwgeom (≥ 0.1-2), maps, rgdal, rgeos, sp (≥ 1.2-4), raster, spatstat, tmap, maptools, RSQLite, tibble (≥ 1.4.1), pillar, rlang, dplyr (≥ 0.7-0), tidyr (≥ 0.7-2), RPostgreSQL, RPostgres (≥ 1.1.0), odbc, tidyselect, ggplot2, mapview, testthat, knitr, covr, microbenchmark, rmarkdown"
sfsmisc,sfsmisc: Utilities from 'Seminar fuer Statistik' ETH Zurich,OK,"Useful utilities ['goodies'] from Seminar fuer Statistik ETH Zurich,
   some of which were ported from S-plus in the 1990's.
 For graphics, have pretty (Log-scale) axes, an enhanced Tukey-Anscombe
   plot, combining histogram and boxplot, 2d-residual plots, a 'tachoPlot()',
   pretty arrows, etc.
 For robustness, have a robust F test and robust range().
 For system support, notably on Linux, provides 'Sys.*()' functions with
   more access to system and CPU information.
 Finally, miscellaneous utilities such as simple efficient prime numbers,
   integer codes, Duplicated(), toLatex.numeric() and is.whole().",1.1-2,R (≥ 3.2.0),"grDevices, methods, utils, stats","datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern"
shiny,shiny: Web Application Framework for R,OK,"Makes it incredibly easy to build interactive web
    applications with R. Automatic ""reactive"" binding between inputs and
    outputs and extensive prebuilt widgets make it possible to build
    beautiful, responsive, and powerful applications with minimal effort.",1.1.0,"R (≥ 3.0.2), methods","utils, grDevices, httpuv (≥ 1.4.3), mime (≥ 0.3), jsonlite (≥ 0.9.16), xtable, digest, htmltools (≥ 0.3.5), R6 (≥ 2.0), sourcetools, later (≥ 0.7.2), promises (≥ 1.0.1), tools, crayon, rlang","datasets, Cairo (≥ 1.5-5), testthat, knitr (≥ 1.6), markdown, rmarkdown, ggplot2, magrittr"
sna,sna: Tools for Social Network Analysis,OK,"A range of tools for social network analysis, including node and graph-level indices, structural distance and covariance methods, structural equivalence detection, network regression, random graph generation, and 2D/3D network visualization.",2.4,"R (≥ 2.0.0), utils, statnet.common, network",NA,"rgl, numDeriv, SparseM"
som,som: Self-Organizing Map,OK,Self-Organizing Map (with application in gene clustering).,0.3-5.1,R (≥ 2.10),NA,NA
sourcetools,"sourcetools: Tools for Reading, Tokenizing and Parsing R Code",OK,"Tools for the reading and tokenization of R code. The
    'sourcetools' package provides both an R and C++ interface for the tokenization
    of R code, and helpers for interacting with the tokenized representation of R
    code.",0.1.7,R (≥ 3.0.2),NA,testthat
sp,sp: Classes and Methods for Spatial Data,OK,"Classes and methods for spatial
  data; the classes document where the spatial location information
  resides, for 2D or 3D data. Utility functions are provided, e.g. for
  plotting data as maps, spatial selection, as well as methods for
  retrieving coordinates, for subsetting, print, summary, etc.",1.3-1,"R (≥ 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid","RColorBrewer, rgdal (≥ 0.8-7), rgeos (≥ 0.3-13), gstat, maptools, deldir"
SparseM,SparseM: Sparse Linear Algebra,OK,"Some basic linear algebra functionality for sparse matrices is
  provided:  including Cholesky decomposition and backsolving as well as 
  standard R subsetting and Kronecker products.",1.77,"R (≥ 2.15), methods","graphics, stats, utils",NA
stabledist,stabledist: Stable Distribution Functions,OK,"Density, Probability and Quantile functions, and random number
  generation for (skew) stable distributions, using the parametrizations of
  Nolan.",0.7-1,R (≥ 3.1.0),stats,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc"
statmod,statmod: Statistical Modeling,OK,"A collection of algorithms and functions to aid statistical modeling. Includes growth curve comparisons, limiting dilution analysis (aka ELDA), mixed linear models, heteroscedastic regression, inverse-Gaussian probability calculations, Gauss quadrature and a secure convergence algorithm for nonlinear models.  Includes advanced generalized linear model functions that implement secure convergence, dispersion modeling and Tweedie power-law families. ",1.4.30,R (≥ 1.6.1),"stats, graphics","MASS, tweedie"
statnet.common,"statnet.common: Common R Scripts and Utilities Used by the Statnet Project
Software",OK,Non-statistical utilities used by the software developed by the Statnet Project. They may also be of use to others.,4.1.4,NA,"utils, methods, coda",covr
streamR,streamR: Access to Twitter Streaming API via R,OK,"Functions to access Twitter's filter, sample, and user streams, and to
    parse the output into data frames.",0.4.4,"R (≥ 2.12.0), RCurl, rjson, ndjson",NA,ROAuth (≥ 0.9.0)
stringi,stringi: Character String Processing Facilities,OK,"Allows for fast, correct, consistent, portable,
    as well as convenient character string/text processing in every locale
    and any native encoding. Owing to the use of the 'ICU' library,
    the package provides 'R' users with platform-independent functions
    known to 'Java', 'Perl', 'Python', 'PHP', and 'Ruby' programmers. Available
    features include: pattern searching (e.g., with 'Java'-like regular
    expressions or the 'Unicode' collation algorithm), random string generation,
    case mapping, string transliteration, concatenation,
    Unicode normalization, date-time formatting and parsing, and many more.",1.2.4,R (≥ 2.14),"tools, utils, stats",NA
stringr,"stringr: Simple, Consistent Wrappers for Common String Operations",OK,"A consistent, simple and easy to use set of wrappers around the
    fantastic 'stringi' package. All function and argument names (and positions)
    are consistent, all functions deal with ""NA""'s and zero length vectors
    in the same way, and the output from one function is easy to feed into
    the input of another.",1.3.1,R (≥ 3.1),"glue (≥ 1.2.0), magrittr, stringi (≥ 1.1.7)","covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat"
strucchange,"strucchange: Testing, Monitoring, and Dating Structural Changes",OK,"Testing, monitoring and dating structural changes in (linear)
             regression models. strucchange features tests/methods from
	     the generalized fluctuation test framework as well as from
	     the F test (Chow test) framework. This includes methods to
	     fit, plot and test fluctuation processes (e.g., CUSUM, MOSUM,
	     recursive/moving estimates) and F statistics, respectively.
             It is possible to monitor incoming data online using
             fluctuation processes.
             Finally, the breakpoints in regression models with structural
             changes can be estimated together with confidence intervals.
             Emphasis is always given to methods for visualizing the data.",1.5-1,"R (≥ 2.10.0), zoo, sandwich","graphics, stats","stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries"
survey,survey: Analysis of Complex Survey Samples,OK,"Summary statistics, two-sample tests, rank tests, generalised linear models, cumulative link models, Cox models, loglinear models, and general maximum pseudolikelihood estimation for multistage stratified, cluster-sampled, unequally weighted survey samples. Variances by Taylor series linearisation or replicate weights. Post-stratification, calibration, and raking. Two-phase subsampling designs. Graphics. PPS sampling without replacement. Principal components, factor analysis.",3.33-2,"R (≥ 2.16.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice","foreign, MASS, KernSmooth, hexbin, mitools, RSQLite, RODBC, quantreg, parallel, CompQuadForm, DBI"
systemfit,systemfit: Estimating Systems of Simultaneous Equations,OK,"Econometric estimation of simultaneous
 systems of linear and nonlinear equations using Ordinary Least
 Squares (OLS), Weighted Least Squares (WLS), Seemingly Unrelated
 Regressions (SUR), Two-Stage Least Squares (2SLS), Weighted
 Two-Stage Least Squares (W2SLS), and Three-Stage Least Squares (3SLS).",1.1-22,"R (≥ 3.2.0), Matrix, car (≥ 2.0-0), lmtest","stats (≥ 2.14.0), sandwich (≥ 2.2-9), MASS, methods","plm (≥ 1.0-1), sem (≥ 2.0-0)"
tcltk2,tcltk2: Tcl/Tk Additions,OK,"A series of additional Tcl commands and Tk widgets with style
  and various functions (under Windows: DDE exchange, access to the
  registry and icon manipulation) to supplement the tcltk package",1.2-11,"R (≥ 2.8.0), tcltk",NA,utils
tfplot,tfplot: Time Frame User Utilities,OK,"Utilities for simple manipulation and quick  	
	plotting of time series data. These utilities use the tframe package
	which provides a programming kernel for time series. Extensions to
	tframe provided in tframePlus can also be used. See the Guide vignette
	for examples.",2015.12-1,"R (≥ 2.12.0), tframe","stats, graphics, grDevices",googleVis
tframe,tframe: Time Frame Coding Kernel,OK,"A kernel of functions for programming 
	time series methods in a way that is relatively independently of the 
	representation of time. Also provides plotting, time windowing, 
	and some
	other utility functions which are specifically intended for time series.
	See the Guide distributed as a vignette, or ?tframe.Intro for more
	details. (User utilities are in package tfplot.)",2015.12-1,R (≥ 2.5.0),stats,NA
TH.data,TH.data: TH's Data Archive,OK,"Contains data sets used in other packages Torsten Hothorn
  maintains.",1.0-9,"R (≥ 2.10.0), survival, MASS",NA,"dplyr, gdata, plyr"
tibble,tibble: Simple Data Frames,OK,"Provides a 'tbl_df' class (the 'tibble') that provides
    stricter checking and better formatting than the traditional data frame.",1.4.2,R (≥ 3.1.0),"cli, crayon, methods, pillar (≥ 1.1.0), rlang, utils","covr, dplyr, import, knitr (≥ 1.5.32), microbenchmark, mockr, nycflights13, rmarkdown, testthat, withr"
tidyverse,tidyverse: Easily Install and Load the 'Tidyverse',OK,"The 'tidyverse' is a set of packages that work in harmony
    because they share common data representations and 'API' design. This
    package is designed to make it easy to install and load multiple
    'tidyverse' packages in a single step. Learn more about the 'tidyverse'
    at <https://tidyverse.org>.",1.2.1,NA,"broom (≥ 0.4.2), cli (≥ 1.0.0), crayon (≥ 1.3.4), dplyr (≥
0.7.4), dbplyr (≥ 1.1.0), forcats (≥ 0.2.0), ggplot2 (≥
2.2.1), haven (≥ 1.1.0), hms (≥ 0.3), httr (≥ 1.3.1), jsonlite (≥ 1.5), lubridate (≥ 1.7.1), magrittr (≥ 1.5), modelr (≥ 0.1.1), purrr (≥ 0.2.4), readr (≥ 1.1.1), readxl (≥ 1.0.0), reprex (≥ 0.1.1), rlang (≥ 0.1.4), rstudioapi (≥
0.7), rvest (≥ 0.3.2), stringr (≥ 1.2.0), tibble (≥ 1.3.4), tidyr (≥ 0.7.2), xml2 (≥ 1.1.1)","feather (≥ 0.3.1), knitr (≥ 1.17), rmarkdown (≥ 1.7.4)"
timeDate,timeDate: Rmetrics - Chronological and Calendar Objects,OK,"The 'timeDate' class fulfils the conventions of the ISO 8601 
	standard as well as of the ANSI C and POSIX standards. Beyond
	these standards it provides the ""Financial Center"" concept
	which allows to handle data records collected in different time 
	zones and mix them up to have always the proper time stamps with 
	respect to your personal financial center, or alternatively to the GMT
	reference time. It can thus also handle time stamps from historical 
	data records from the same time zone, even if the financial 
	centers changed day light saving times at different calendar
	dates.",3043.102,"R (≥ 2.15.1), graphics, utils, stats, methods",NA,"date, RUnit"
timeSeries,timeSeries: Rmetrics - Financial Time Series Objects,OK,"Provides a class and various tools for financial time series.
	This includes basic functions such as scaling and sorting, subsetting,
	mathematical operations and statistical functions.",3042.102,"R (≥ 2.10), graphics, grDevices, stats, methods, utils, timeDate (≥ 2150.95)",NA,"RUnit, robustbase, xts, PerformanceAnalytics, fTrading"
truncnorm,truncnorm: Truncated Normal Distribution,OK,"Density, probability, quantile and random number
        generation functions for the truncated normal distribution.",1.0-8,R (≥ 3.4.0),NA,testthat
tseries,tseries: Time Series Analysis and Computational Finance,OK,Time series analysis and computational finance.,0.10-45,R (≥ 2.10.0),"graphics, stats, utils, quadprog, zoo, quantmod (≥ 0.4-9)",NA
twitteR,twitteR: R Based Twitter Client,OK,Provides an interface to the Twitter web API.,1.1.9,R (≥ 2.12.0),"methods, bit64, rjson, DBI (≥ 0.3.1), httr (≥ 1.0.0)","RSQLite, RMySQL"
